陈慧娴,#genre#
冷漠-多情的人不该相遇[480*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1041689&response=res&format=mp4&type=convert_url
冷漠-飞上天空的鱼,http://em.21dtv.com/songs/60144804.mkv
冷漠-古咖啡,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_3142984&response=res&format=mp4&type=convert_url
冷漠-古咖啡[0*0],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_3142984&response=res&format=mp4&type=convert_url
冷漠-你把爱给了谁[480*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1210771&response=res&format=mp4&type=convert_url
冷漠-你把爱情给了谁,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1210771&response=res&format=mp4&type=convert_url
冷漠-你的一生我只借一程,http://em.21dtv.com/songs/60138471.mkv
冷漠-你若安好我不打扰,http://em.21dtv.com/songs/60138472.mkv
冷漠-你真的很好,http://em.21dtv.com/songs/60147948.mkv
冷漠-秋雨连绵的日子,http://em.21dtv.com/songs/60146027.mkv
冷漠-谁都不要说分手,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_12975393&response=res&format=mp4&type=convert_url
冷漠-谁都不要说分手[0*0],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_12975393&response=res&format=mp4&type=convert_url
冷漠-时光海湾,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_9867444&response=res&format=mp4&type=convert_url
冷漠-时光海湾[569*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_9867444&response=res&format=mp4&type=convert_url
冷漠-我是否也在你心中,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_4378249&response=res&format=mp4&type=convert_url
冷漠-我是否也在你心中[480*360],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_4378249&response=res&format=mp4&type=convert_url
冷漠-再爱也没有用,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_5834217&response=res&format=mp4&type=convert_url
冷漠-再爱也没有用[480*320],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_5834217&response=res&format=mp4&type=convert_url
冷漠-真不是闹着玩,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_22836669&response=res&format=mp4&type=convert_url
冷漠-真不是闹着玩[0*0],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_22836669&response=res&format=mp4&type=convert_url
冷漠-醉红颜,http://em.21dtv.com/songs/60144610.mkv
李翊君,#genre#
李翊君+江宏恩-放心,http://em.21dtv.com/songs/60137732.mkv
李翊君-爱情路口,http://em.21dtv.com/songs/60137729.mkv
李翊君-背叛无所谓,http://em.21dtv.com/songs/60137730.mkv
李翊君-倒数,http://em.21dtv.com/songs/60137728.mkv
李翊君-多情人都把灵魂给了谁,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/o1koj80kDcERprb8epC%40%40hd.m3u8
李翊君-自在,http://em.21dtv.com/songs/60137731.mkv
林翠萍,#genre#
林翠萍的《我太傻》,https://vd2.bdstatic.com/mda-mb5qq1ic4yvekk6r/v2-hknm/sc/mda-mb5qq1ic4yvekk6r.mp4
林翠萍经典老歌《相会在梦里》,https://vdse.bdstatic.com//00fb72cd0b27bec6d9c0cd915874b50e.mp4
林翠萍经典老歌《相会在梦里》FHD[1920*1080],https://vdse.bdstatic.com//00fb72cd0b27bec6d9c0cd915874b50e.mp4
林翠萍经典情歌《相思豆》,https://vdse.bdstatic.com//986498bb0ccd2114ba1274df22fae332.mp4
林翠萍经典情歌《相思豆》FHD[1920*1045],https://vdse.bdstatic.com//986498bb0ccd2114ba1274df22fae332.mp4
林翠萍《负心的你》FHD[1920*1080],https://vdse.bdstatic.com//16425f9f93e382e23bcde71f8ed85a4c.mp4
林翠萍《麦搁来这套》,https://vdse.bdstatic.com//5b388a47b1233105831e09b8cadc1edd.mp4
林翠萍《麦搁來这套》HD[1280*720],https://vdse.bdstatic.com//5b388a47b1233105831e09b8cadc1edd.mp4
林忆莲,#genre#
林忆莲+杨启+夏瑶+肖思齐-至少还有你,http://em.21dtv.com/songs/60138877.mkv
林忆莲+杨启-为你我受冷风吹,http://em.21dtv.com/songs/60138876.mkv
林忆莲-匆匆演唱会,http://em.21dtv.com/songs/60013474.mkv
林忆莲-存在演唱会,http://em.21dtv.com/songs/60013615.mkv
林忆莲-你令我性感演唱会,http://em.21dtv.com/songs/60031901.mkv
林忆莲-情人的眼泪演唱会,http://em.21dtv.com/songs/60035195.mkv
龙梅子,#genre#
龙梅子-等爱,http://em.21dtv.com/songs/60144334.mkv
龙梅子-苦雨,http://em.21dtv.com/songs/60139334.mkv
龙梅子-离别的眼泪,http://em.21dtv.com/songs/60145855.mkv
龙梅子-恋爱协议书,http://em.21dtv.com/songs/60144245.mkv
龙梅子-逆风者,http://em.21dtv.com/songs/60146908.mkv
龙梅子-下辈子做你的女人,http://em.21dtv.com/songs/60144645.mkv
龙梅子_当爱离别时,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyfmc4gUooLyJ2Ac.mp4
龙梅子_泪满天,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgovqc4gUokNPR8QU.mp4
龙梅子_我说亲爱的,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0P2c4gUo79D9-gU.mp4
龙梅子_心要痛到什么时候,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg0P6c4gUogMuVmwQ.mp4
龙梅子_一段情歌一段伤,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-f6c4gUo8JjbvQY.mp4
龙飘飘,#genre#
龙飘飘-不能不想你,http://em.21dtv.com/songs/60138329.mkv
龙飘飘-恨你情难守,http://em.21dtv.com/songs/60138330.mkv
龙飘飘-我没醉,http://em.21dtv.com/songs/60145856.mkv
龙飘飘歌声恋情,https://vd3.bdstatic.com/mda-nbr8qai32badkdf1/sc/cae_h264_delogo/1645933170027877953/mda-nbr8qai32badkdf1.mp4
龙飘飘经典老歌《后悔爱上你》,https://vdse.bdstatic.com//bde5b937e292c240a4322d9719deb98b.mp4
龙飘飘经典老歌《后悔爱上你》HD[1280*720],https://vdse.bdstatic.com//bde5b937e292c240a4322d9719deb98b.mp4
龙飘飘《歌声恋情》FHD[1920*1080],https://vdse.bdstatic.com//552f15ac34dc97bdb3cc7725cd0a0aa4.mp4
龙飘飘《往事》,https://vdse.bdstatic.com//a28e362e15fa8c361219944bfb59b596.mp4
龙飘飘《往事》FHD[1920*1080],https://vdse.bdstatic.com//a28e362e15fa8c361219944bfb59b596.mp4
龙飘飘《我没醉》,https://vdse.bdstatic.com//3d48e45e47836cd75c202ec957260837.mp4
龙飘飘《我没醉》FHD[1920*1080],https://vdse.bdstatic.com//3d48e45e47836cd75c202ec957260837.mp4
美酒加咖啡 龙飘飘FHD[1920*1080],https://vdse.bdstatic.com//816c73543ede254586a625cacc67ea0f.mp4
美酒加咖啡龙飘飘,https://vdse.bdstatic.com//816c73543ede254586a625cacc67ea0f.mp4
梅艳芳,#genre#
梅艳芳-粉红色的一生演唱会,http://em.21dtv.com/songs/60017170.mkv
梅艳芳-今宵多珍重演唱会,http://em.21dtv.com/songs/60023925.mkv
梅艳芳-留住你今晚演唱会,http://em.21dtv.com/songs/60027592.mkv
梅艳芳-梦伴演唱会,http://em.21dtv.com/songs/60029478.mkv
梅艳芳-朦胧夜雨里演唱会,http://em.21dtv.com/songs/60029445.mkv
梅艳芳-你留我在此,http://em.21dtv.com/songs/60031903.mkv
门丽,#genre#
门丽+严龙-凤凰情歌,http://em.21dtv.com/songs/60144641.mkv
门丽-美的不要不要的,http://em.21dtv.com/songs/60145711.mkv
门丽-三生石上,http://em.21dtv.com/songs/60145710.mkv
门丽-听着门丽的歌心里想着你,http://em.21dtv.com/songs/60144064.mkv
门丽-雨夜想你,http://em.21dtv.com/songs/60138176.mkv
门丽_美美哒,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg4cm74gUo4OSj9gU.mp4
孟庭苇,#genre#
孟庭苇-爱你太深,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/KbJb4OVT1yH1ZDvri5p%40%40hd.m3u8
孟庭苇-把思念寄托远方,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Y0iKpwmE2YZona6PY7A%40%40hd.m3u8
孟庭苇-不下雨就出太阳吧,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/lhaW77A2RRwiJrh0CiJ%40%40hd.m3u8
孟庭苇-春雪,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/5ZFrpzPk37KvY7CaTUj%40%40hd.m3u8
孟庭苇-冬季到台北来看雨,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Pd8qTC385qKJVXaXcKj%40%40hd.m3u8
孟庭苇-风中有朵雨做的云,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/Cg9qI5imMInpPvK5Mnm%40%40hd.m3u8
孟庭苇-风中有朵雨做的云,http://em.21dtv.com/songs/60143330.mkv
孟庭苇-过冬,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/U9QKnKK2RpKMElnSS07%40%40hd.m3u8
孟庭苇-谁的眼泪在飞,http://em.21dtv.com/songs/60143328.mkv
孟庭苇-往事,http://em.21dtv.com/songs/60143325.mkv
孟庭苇-我说的谎都是真的,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/9aqTcUjlJ7KZkA37W1E%40%40hd.m3u8
孟庭苇-我只在乎你,http://em.21dtv.com/songs/60143326.mkv
孟庭苇-雾里看花,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/fi3PjAgsnTjwzAvSboT%40%40hd.m3u8
孟庭苇-相爱的可能性,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/5lsxCqoKs6ZE7MfJZvM%40%40hd.m3u8
孟庭苇-羞答答的玫瑰静悄悄的开,http://em.21dtv.com/songs/60143327.mkv
孟庭苇-野百合也有春天,http://em.21dtv.com/songs/60143329.mkv
孟庭苇-一个爱上浪漫的人,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/DpBYbctgwaRj7bEYzFn%40%40hd.m3u8
孟庭苇-真的还是假的,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/vhJvCIZiDOz7f6VTCON%40%40hd.m3u8
情歌皇后林翠萍《相见不如不见》FHD[1920*1080],https://vdse.bdstatic.com//1f65ad884619a069c68572f1ac9e2b0e.mp4
任妙音,#genre#
任妙音-梵唱,http://em.21dtv.com/songs/60145995.mkv
任妙音-佛珠转呀转,http://em.21dtv.com/songs/60145994.mkv
任妙音-玫瑰恋情,http://em.21dtv.com/songs/60143125.mkv
任妙音-如意花,http://em.21dtv.com/songs/60143122.mkv
任妙音-天在下雨我在想你演唱会,http://em.21dtv.com/songs/60143121.mkv
任妙音-忘不了,http://em.21dtv.com/songs/60143123.mkv
任妙音-无怨无悔陪你一起老,http://em.21dtv.com/songs/60143124.mkv
任妙音-一棵开花的树,http://em.21dtv.com/songs/60145993.mkv
任妙音-雨中相逢,http://em.21dtv.com/songs/60143126.mkv
任妙音《天在下雨我在想你》DJ版,https://vd3.bdstatic.com/mda-makbbuxuhfwrbbjv/v1-cae/1080p/mda-makbbuxuhfwrbbjv.mp4
天籁天,#genre#
天籁天+王勇-倾世之恋,http://em.21dtv.com/songs/60143288.mkv
天籁天-爱的困惑,http://em.21dtv.com/songs/60143287.mkv
天籁天-爱的天意,http://em.21dtv.com/songs/60146178.mkv
天籁天-带我走,http://em.21dtv.com/songs/60137478.mkv
天籁天-今天特别想你,http://em.21dtv.com/songs/60137477.mkv
天籁天-恋你在红尘,http://em.21dtv.com/songs/60139335.mkv
天籁天-你还是从前的你吗,http://em.21dtv.com/songs/60144971.mkv
天籁天-你留在海边的画,http://em.21dtv.com/songs/60143286.mkv
天籁天-飘零的晚秋,http://em.21dtv.com/songs/60146179.mkv
天籁天-潍坊,http://em.21dtv.com/songs/60146177.mkv
天籁天-只为一眼,http://em.21dtv.com/songs/60146176.mkv
望海高歌,#genre#
望海高歌-归家的男人,http://em.21dtv.com/songs/60143516.mkv
望海高歌-今生一缕相思情,http://em.21dtv.com/songs/60137685.mkv
望海高歌-今夜的风好凉,http://em.21dtv.com/songs/60137684.mkv
望海高歌-渴望你的爱,http://em.21dtv.com/songs/60145196.mkv
望海高歌-两情相依心好甜,http://em.21dtv.com/songs/60145192.mkv
望海高歌-你给的永远有多远,http://em.21dtv.com/songs/60145193.mkv
望海高歌-人在天涯心在家乡,http://em.21dtv.com/songs/60146369.mkv
望海高歌-散了吧忘了吧,http://em.21dtv.com/songs/60143517.mkv
望海高歌-三生三世爱不变,http://em.21dtv.com/songs/60143514.mkv
望海高歌-我的身边再也没有你,http://em.21dtv.com/songs/60145194.mkv
望海高歌-我的身边再也没有你,http://em.21dtv.com/songs/60146370.mkv
望海高歌-我还是从前的那个我,http://em.21dtv.com/songs/60145195.mkv
望海高歌-我托星星带个话,http://em.21dtv.com/songs/60138801.mkv
望海高歌-相思湖畔相思的歌,http://em.21dtv.com/songs/60146372.mkv
望海高歌-相偎相依到永远,http://em.21dtv.com/songs/60137687.mkv
望海高歌-欣欣向荣,http://em.21dtv.com/songs/60146371.mkv
望海高歌-因为爱着你才不会再联系,http://em.21dtv.com/songs/60143515.mkv
望海高歌-有你的时光就是最美的歌,http://em.21dtv.com/songs/60137686.mkv
望海高歌-缘分真的好奇妙,http://em.21dtv.com/songs/60146373.mkv
王馨,#genre#
王馨+刘润泽-嫁给我吧,http://em.21dtv.com/songs/60137925.mkv
王馨-爱过你真的不后悔,http://em.21dtv.com/songs/60143768.mkv
王馨-今生不再为我美,http://em.21dtv.com/songs/60146564.mkv
王馨-只要你幸福就好,http://em.21dtv.com/songs/60137924.mkv
晓依,#genre#
晓依+董升-927,http://em.21dtv.com/songs/60145172.mkv
晓依-痴心女人,http://em.21dtv.com/songs/60137666.mkv
晓依-来世化蝶与你共舞,http://em.21dtv.com/songs/60146352.mkv
晓依-让我为你唱情歌,http://em.21dtv.com/songs/60137667.mkv
晓依-网络遇见你,http://em.21dtv.com/songs/60143494.mkv
晓依-想念的你,http://em.21dtv.com/songs/60138783.mkv
晓依-在网络认识你,http://em.21dtv.com/songs/60137665.mkv
晓依-在网络认识你,http://em.21dtv.com/songs/60143493.mkv
晓依-928,http://em.21dtv.com/songs/60145171.mkv
杨丽珍,#genre#
杨丽珍-愿做菩萨那朵莲,http://em.21dtv.com/songs/60145250.mkv
杨丽珍_情为何物,https://vd2.bdstatic.com/mda-nk3am8nwdgqfy6nh/sc/cae_h264/1667555203921394810/mda-nk3am8nwdgqfy6nh.mp4
杨丽珍_想念你,https://vd2.bdstatic.com/mda-iggwqt9cezpyirjn/sc/mda-iggwqt9cezpyirjn.mp4
杨丽珍_虚情的爱,https://vd2.bdstatic.com/mda-mi1dd05gmhwejdwn/sc/cae_h264/1630576203346678103/mda-mi1dd05gmhwejdwn.mp4
杨梓文祺,#genre#
杨梓文祺-不爱就散,http://em.21dtv.com/songs/60138864.mkv
杨梓文祺-等风等雨我等你,http://em.21dtv.com/songs/60145263.mkv
杨梓文祺-合欢树下,http://em.21dtv.com/songs/60146433.mkv
杨梓文祺-那么近那么远,http://em.21dtv.com/songs/60137758.mkv
杨梓文祺-那么近那么远MTV,http://em.21dtv.com/songs/60143588.mkv
杨梓文祺-你真是笨死了,http://em.21dtv.com/songs/60137757.mkv
杨梓文祺-最后一次等你到天亮,http://em.21dtv.com/songs/60146434.mkv
叶倩文,#genre#
叶倩文+陈奕迅-女人的眼泪演唱会,http://em.21dtv.com/songs/60032929.mkv
叶倩文-冲动演唱会,http://em.21dtv.com/songs/60012844.mkv
叶倩文-女人的眼泪演唱会,http://em.21dtv.com/songs/60032930.mkv
叶倩文-我的爱对你说,http://bizcommon.alicdn.com/l2nDqpMmn6DGHnWzZQA/7xXG24i7EbZtCTOtSnh%40%40sd.m3u8
卓依婷,#genre#
卓依婷-爱情一阵风,http://vd3.bdstatic.com/mda-jf5fre7jvd0q3rfu/mda-jf5fre7jvd0q3rfu.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-采红菱,http://vd3.bdstatic.com/mda-jfdvpsg280t986rz/mda-jfdvpsg280t986rz.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-大家一起来DJ,http://vd3.bdstatic.com/mda-jf1jfkgj3qte7h96/mda-jf1jfkgj3qte7h96.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-歹路不通行,http://vd3.bdstatic.com/mda-imigfktdeeseud4j/mda-imigfktdeeseud4j.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-电话情思,http://vd3.bdstatic.com/mda-jfghscj8datutink/mda-jfghscj8datutink.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-东南西北风,http://vd3.bdstatic.com/mda-jf9fszd51shymgp6/mda-jf9fszd51shymgp6.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-杜十娘,http://vd3.bdstatic.com/mda-jekst5s3c341xwyd/mda-jekst5s3c341xwyd.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-旧情也绵绵,http://vd3.bdstatic.com/mda-jfje0s0z33b0c9vf/mda-jfje0s0z33b0c9vf.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-看不见温柔,http://vd3.bdstatic.com/mda-jeqg6s6gc0ietmst/mda-jeqg6s6gc0ietmst.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-流星雨,http://vd3.bdstatic.com/mda-jfap39wqmi2yisu6/mda-jfap39wqmi2yisu6.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-美酒加咖啡,http://vd3.bdstatic.com/mda-jfrred8ck6pnh6bq/mda-jfrred8ck6pnh6bq.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-梦醒十分,http://vd3.bdstatic.com/mda-jennyc5ci1ugrxzi/mda-jennyc5ci1ugrxzi.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-免失志,http://vd3.bdstatic.com/mda-jdngvdh4ru0irwma/mda-jdngvdh4ru0irwma.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-莫辜负好时光,http://vd3.bdstatic.com/mda-jfkkh6m5u47trvqc/mda-jfkkh6m5u47trvqc.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-萍聚,http://vd3.bdstatic.com/mda-jenmbx88uk365k40/mda-jenmbx88uk365k40.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-山不转水转,http://vd3.bdstatic.com/mda-jb7pfvgc6wuivhqi/mda-jb7pfvgc6wuivhqi.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-同一首歌,http://vd3.bdstatic.com/mda-jf1j2af0dji6ju83/mda-jf1j2af0dji6ju83.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-蜗牛与黄鹂鸟,http://vd3.bdstatic.com/mda-jfjnacpfn6r21dec/mda-jfjnacpfn6r21dec.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
卓依婷-无聊的爱情,http://vd3.bdstatic.com/mda-jfkhu7bksxcqjq2z/mda-jfkhu7bksxcqjq2z.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
